,0,1
feel,-0.861523,-1.8835636
feet,0.28696436,-0.1201513
fell,1.6163378,-0.85643834
felt,-0.8653786,-2.6506245
fervent,2.0704603,-0.6603839
few,-0.16047405,0.22766037
fewer,-0.60272425,-1.3442408
field,-0.15054342,1.6649402
fieldhand,-2.3394682,3.5773575
fieldwith,1.8047433,0.2574701
fiery,0.6025279,-0.10658386
fifteen,-1.7431087,2.259732
fifty,-0.041771065,-0.7276199
figured,-0.6933721,-3.6045098
fill,1.1761428,-1.734848
filled,0.8697754,-2.4845877
final,0.06304579,-0.13584694
finger,1.4436824,-1.1630158
fingernails,-1.3089173,2.2485247
fingers,1.9822874,-2.900742
fire,1.7914162,0.8627896
firing,-1.1119766,3.5805326
first,-1.3016565,-1.4067136
fish,1.4181772,-0.7619896
fisherfolk,0.6457704,0.3338507
fishing,5.7949424,6.9351077
fist,1.3398182,-5.5492687
fitting,-1.5588325,-0.18839207
fiveandthirty,-1.5700806,-0.38963297
fiveandtwenty,-0.55053097,-2.2512455
flag,-2.6568754,-3.2089083
flaking,3.4030645,-3.1863718
flame,1.0774089,0.11002725
flames,0.37883213,-3.0689929
flapped,4.9950595,-2.480279
flapping,0.5969822,-2.4071298
flatter,-3.02051,0.8398397
fled,1.1601658,0.8370344
fleet,-1.8812637,0.08667437
flerce,-1.7732793,0.11153483
flery,1.1265451,-3.2100055
flesh,1.2182242,-1.8818383
flickered,4.1175075,-0.61739147
flight,1.6641427,1.4825821
flock,-0.7289068,1.4307413
florent,-0.9873444,1.284601
fly,0.765451,-2.5935032
flying,8.353409,5.58368
follies,-3.8404918,-1.141931
followed,-1.0232387,-0.9747457
folly,0.71401316,-1.3790154
fond,1.9314255,-0.6021419
food,3.574707,1.2309567
fool,-0.5128431,-2.6929548
fools,0.7681282,-1.0870034
foot,0.1574328,-0.80343646
for,-1.3983622,0.84811485
foreboding,1.6154135,-1.7651697
forest,0.27781445,0.62265
forests,4.5176463,10.899951
foretelling,2.3853574,3.748203
forever,-3.2193542,0.6978013
forged,1.6061828,-1.8408843
forget,-0.90080035,1.1739209
forgive,-2.2536948,0.0036549114
forgotten,-3.7010546,-0.55584294
fortnight,-1.7010273,-2.459715
fortress,0.9824826,0.9306603
foster,-0.88585955,0.606086
found,-0.27141193,-1.032235
four,0.14563857,0.91521066
frail,-0.037325792,0.22790615
fratricide,-0.85955155,-4.911764
free,1.9579116,1.4767212
freedom,-0.10721304,-0.59146285
freehold,2.5806146,0.75940365
fresh,1.8702805,0.08856156
friend,-3.9648108,1.318092
friendly,-2.6728604,1.4907209
friends,-0.37100607,0.25321594
frighten,-0.38020742,-1.0248861
fringe,-1.1127758,-0.3169072
from,0.6887158,-0.2116375
frowns,-2.6281288,3.9149067
fruitless,-0.2369833,-0.6449199
full,0.54710495,-1.8443251
fullness,2.0587792,-0.55064595
fumbling,0.95664454,-1.6946679
furrowed,-0.034180224,-4.4837503
fury,5.1955266,-2.8063402
future,-1.0793184,0.2647919
gaily,4.276572,-3.3086853
gales,1.1440474,0.6209476
gallery,0.97742546,-0.55443287
galley,3.6665308,-1.1685708
galleys,2.1920283,1.7550379
galloping,0.69261414,-3.445955
games,-1.1286951,-0.14927712
gaped,2.5947402,-1.0301303
gargoyles,2.4596317,-0.34380138
garrison,0.1767583,0.03009402
gates,1.8058949,0.49414715
gateway,5.82327,0.83539414
gave,-1.6630142,0.56240475
gazed,1.7754596,-5.3554606
gentle,-2.567983,0.9689073
gently,-1.2978317,-0.50381297
george,-3.85063,3.3709269
gesture,1.9738294,-1.4948615
get,-0.988587,-1.3643873
giddy,-2.177581,-1.7471426
giggled,-4.786594,-0.5152439
girl,-0.107431516,-2.1269264
give,-1.1438463,0.27826825
given,-3.470806,0.9786611
gives,0.24484913,2.093201
giving,-0.75649536,1.7586344
glanced,-1.7131933,-1.7266865
glass,0.8945025,-0.25937137
gloomy,4.460915,-6.565363
glove,4.1572137,-0.8711095
gloved,1.3695338,-3.2205048
go,0.69187295,-2.9388397
god,-0.45753273,0.18439619
gods,-1.7045407,0.09796717
goes,-2.4138749,-0.44593632
gone,-0.66567284,0.93867207
good,-1.7451371,1.3772079
gorgeous,2.704288,-0.48070478
gotten,0.26040938,-3.6145537
gown,-0.26409605,0.19361737
gowns,3.8559952,0.36916184
grabbed,0.42989224,-2.7054813
grace,-1.5785943,-0.5395668
grant,-1.5120977,2.5093403
grateful,-0.5221321,-1.4353547
great,1.2299042,-0.093154624
green,2.2394054,-3.592146
grew,-0.11193842,-0.82175595
grey,2.340703,-0.435094
greygreen,4.058661,-2.8328526
greyscale,0.99592286,-0.20140873
grievance,-2.1743407,-0.6745357
grim,-0.54285693,0.6711587
grinding,1.4055356,-2.3919418
grotesques,0.31112564,0.9876438
grove,0.7698655,4.527116
grow,0.10497652,-3.0974178
grown,-1.4001018,-1.2798817
guard,2.2119727,3.485332
guardian,6.126759,-0.15263505
guardsmen,6.1191382,0.41886696
guileless,1.014827,-2.8377337
gulian,0.20841779,-0.81371665
hacked,-0.92504346,-2.8286092
had,-0.7837622,-1.1415645
hair,3.7325425,-0.5394709
half,0.3534223,-0.54023093
halfway,0.45714626,-1.8953882
hall,0.40874255,1.3376474
halls,5.203053,-1.1871822
hand,0.45296648,-1.4621285
handful,1.4387985,0.5743406
handled,0.59844154,-1.3102123
hands,0.01770704,-0.91780895
happened,-1.8148501,-1.1202635
harbert,-1.3965977,-1.3867481
hard,0.111364305,-0.24217753
hardly,1.604123,1.6520885
hardwon,0.8473868,0.48480028
harvests,-3.668723,1.5327245
has,-1.8398657,-1.8916677
haste,0.17334822,-0.5970643
hastening,1.8871619,-0.48820233
have,-2.9619286,0.03905495
hawk,1.9065219,-3.0009093
hazy,2.6419,-2.6263905
he,-0.9634543,-0.7325626
head,1.2510737,-2.1849117
headland,0.74020004,-1.520513
heal,-2.2127416,0.5006128
healingbut,-0.539176,1.6457468
health,0.7754572,-1.8566226
hear,-3.0005283,-0.98469037
heard,-1.1690121,-1.7296327
heart,0.5920889,-0.5396705
heavens,-0.09742233,0.48837405
heavily,3.5749674,-3.0350106
heavy,0.8614665,-1.9207631
hed,-1.0172106,-0.5343666
heedless,-1.9809175,1.2701882
heir,-2.9233608,0.6543675
held,-0.44291046,0.062134117
hellhound,1.414559,1.2041115
helm,-0.13071205,0.8445829
help,-1.5097901,0.44925278
helping,-2.9193988,1.5891824
her,0.47265866,-1.621523
here,-0.45103115,-0.6323903
hers,-2.9773474,0.42070457
hid,7.272824,2.4400647
hidden,-1.6292558,2.1373334
hideous,-0.562903,-6.0889997
hides,-1.2831707,0.5799469
highborns,-0.7700301,1.268532
highgarden,-1.6265155,2.1682098
him,-1.1840576,0.39205247
himself,-0.7930854,-0.82418174
hint,3.8378203,-0.79979926
hip,0.3966777,-1.1579059
hips,1.1866132,-1.2176596
his,0.65252453,-1.028542
hobbled,1.9829603,0.95457727
hold,1.1759669,-0.5604973
holdings,0.5004214,1.7878939
hollow,-0.69046634,0.7708425
hollows,4.3473263,-2.3892367
home,-0.69353855,0.54023206
honor,-2.4125743,2.355941
honors,-2.1959815,-0.7294835
hope,-0.040664487,-0.6444299
hoped,-2.042025,0.018953988
hopping,0.9944801,-1.6377462
horrorstruck,-1.4690493,-4.3353615
horse,-0.067900255,-1.0325662
horses,-0.7137318,1.262662
host,0.91335857,-0.32862324
hot,-0.30968717,0.7923517
hour,-2.2881198,0.6562416
house,-0.45275876,0.95359755
how,-1.9246756,0.117083326
howling,5.7412214,-3.8716028
hull,5.677336,-2.8198109
humor,-0.40259278,-0.5792575
hundred,1.2550573,0.20021342
hundreds,-0.3264936,0.42096215
hung,2.4013546,-1.4848335
hurry,-1.0564302,-0.5969846
husband,0.5478202,-1.5016909
i,-3.1201231,-0.20414326
ice,2.2611728,1.8576846
id,-3.0269809,0.32510674
if,-2.0457659,-0.16573817
ignorant,-1.6857679,3.1336153
ii,-2.7550185,2.07615
ill,-0.98317784,-0.12942159
im,-3.1188445,1.5129933
important,-0.12140032,-1.2452388
impressive,-0.5823358,0.77763575
impulse,0.6293125,1.2341356
in,0.35616186,0.30626535
incoherent,-4.47651,2.0918534
incomes,-2.6614878,-0.16578141
indeed,-3.8678732,-0.96700144
indigo,1.1572119,0.0026344336
inflict,-1.8745394,-0.11108884
injustice,-2.548751,-0.62581027
inner,4.9454255,-1.2886293
inside,0.46416676,2.047392
instead,3.0080862,1.6732703
into,1.222828,-3.7807152
intoned,0.23669253,0.35654753
